Master Target Database
"All 47 targets across the IB, Corp Dev, and VC lanes in one view  |  CBS Class of 2028  |  Compiled Aug 22, 2026"
"Priority / Status / Next Step mirror the lane tabs live: edit them THERE (yellow columns), not here. Sort or filter this sheet freely; formulas follow.",,,,,,Targets:,47,High priority:,0,In motion:,0

Target,Lane,Tier / Category,HQ,Edge in One Line,Access Channel,Timing,Personal Angle,Priority,Status,Next Step,Next Step Date
PJT Partners,IB,1 - OCR,New York,"Payward's house bank (NinjaTrader, Bitnomial, Reap) plus Core Scientific debtor mandate and $9B co-sell to CoreWeave",OCR presentations and closed lists; RSSG restructuring is a separate MBA-heavy track,Sept-Jan OCR,"You are living the process they sell; pitch market-structure conviction, not one client"
Evercore,IB,1 - OCR,New York,"Co-lead FA to Siris on the $4.2B Equiniti sale; largest EB associate class, best raw odds",OCR; consistent CBS hirer,Sept-Jan OCR,Brand plus optionality play; Gol/Smiles is the anchor story
Moelis,IB,1 - OCR,New York,"Restructuring franchise leader (Voyager, Genesis, BlockFi debtors); Bitfarms buy-side; Core Scientific co-sell",Standard OCR process,Sept-Jan OCR,Rx depth is the counter-cyclical hedge if crypto M&A slows
Centerview,IB,1 - OCR,New York,"Celsius Ch. 11 debtor banker (~$20M fee allocation); smallest class, most selective",OCR,Sept-Jan OCR,-
Perella Weinberg,IB,1 - OCR,New York,FTX debtors and Celsius creditors: the two biggest crypto estates,OCR,Sept-Jan OCR,Ask how the market-structure franchise carries forward post-FTX
Lazard,IB,1 - OCR,New York,Co-FA to FTAI on the $1.5B Long Ridge sale to MARA,OCR,Sept-Jan OCR,-
Houlihan Lokey,IB,1 - OCR,NYC + LA,Genesis creditors; creditor-side franchise across the 2022-24 crypto bankruptcies,OCR; corporate finance and restructuring tracks,Sept-Jan OCR,-
Guggenheim,IB,1 - OCR,New York,Fintech coverage; no disclosed crypto M&A credits 2024-26,OCR,Sept-Jan OCR,Weakest Tier 1 evidence; only if networking comes cheap
Jefferies,IB,1 - OCR,New York,"Three sell-sides in 15 months (NinjaTrader, Kiavi, Long Ridge) plus FTX creditors; best evidence-to-odds ratio",OCR; larger associate class than the EBs,Sept-Jan OCR,Their sell-side seats mirror your COR PRIME work from the client side
Cantor Fitzgerald,IB,2 - Direct,New York,"DAT and de-SPAC co-leader (Twenty One, Securitize) plus Strive buy-side on the $1.4B Semler merger",NYC postings plus direct outreach to the digital assets group,Rolling,Name the Semler mandate in the first note
FT Partners,IB,2 - Direct,San Francisco (NYC + London),"#1 crypto sell-side franchise: Deribit, Hidden Road, WonderFi, Equiniti co-lead",Direct via Greenhouse plus outreach to the crypto vertical (founder-led: Steve McLaughlin),"Rolling, post-IBC book",You have built the models their decks run on; diligence the culture with former juniors first
KBW (Stifel),IB,2 - Direct,New York,Stifel advised Riot on Block Mining; KBW crypto skews research and capital markets,Network via FIG alumni,Rolling,"Bank-crypto convergence (charters, stablecoin issuers) could re-rate this seat fast"
LionTree,IB,2 - Direct,New York,Exclusive sell-side to Semler on the Strive merger; Equiniti syndicate seat,Network; NYC media and TMT events,Rolling,-
Galaxy (IB arm),IB,3 - Network,New York,Bitstamp and Aplo exclusive sell-sides; largest crypto-native advisory platform,CBS alumni plus direct outreach; one relationship opens IB and Ventures,"Post-close, spring 2027","Your single best asymmetric bet: crypto-native brand, live flow, lateral-shaped profile"
