"Engagement Feed: Content, Events, and CBS Actions"
"Every hook named in the Aug 2026 research, plus the CBS-cycle actions from the Timeline tab  |  Engage BEFORE you reach out"
"Fill in the yellow columns (G to H) as you subscribe, register, and attend."

Source / Event,Type,Host / Firm,Cadence / When,Why It Matters / Action,Priority,Done?,Notes
CBS club fair - join IBC + Fintech Club,CBS action,Columbia Business School,Aug 24 - early Sept,Join both clubs immediately; get CMC portal access and pull the OCR employer roster against the IB Targets tab,Now
Columbia Venture Fellows (CVF),CBS action,Columbia,Opens ~Aug 28,"The VC-lane vehicle; Galaxy Ventures, CoinFund, and USV are flagged CVF-compatible",Now
IBC prep program + resume book,CBS action,CBS Investment Banking Club,Sept-Oct,Submit to the resume book; lock the FIG/fintech story tied to your deal experience,Now
Employer information sessions,CBS action,Tier 1 firms via CMC,From Sept,Attend every Tier 1 session; log contacts in the lane tabs the same day,Now
Architect Partners M&A alerts,Newsletter,Architect Partners,Per-deal,Your ongoing market map: every alert names the advisors - feeds the Deal Evidence and League Table tabs,Now
Fintech Collective newsletter,Newsletter,Fintech Collective,Recurring,"The stablecoins/payments canon ('The Dollar's New Avatar', 'Stablecoins Take the Lead'); reference it in outreach",Now
Galaxy Research,Research,Galaxy,Recurring,Underpins the best NYC stablecoins/market-structure conversation; read before any Galaxy touchpoint,Now
Variant thesis essays,Research,Variant,Per-essay,"Writing-first outreach: respond to a live essay, don't cold-email",Weekly
USV thesis blog + AVC (Fred Wilson),Blog,Union Square Ventures,Recurring,They reward writing; CVF plus a thoughtful written note is the entry,Weekly
a16z crypto research + State of Crypto,Research,a16z crypto,Recurring + annual,"Fund 5 thesis language (stablecoins, tokenization, perp futures, prediction markets, AI agents); Dixon is the Columbia hook",Weekly
Placeholder research library,Research,Placeholder,Archive,Burniske's cryptoasset valuation frameworks are CVF-grade material,Monthly
Portal Ventures / Evan Fisher writing,Blog,Portal Ventures,Recurring,Fundamentals-driven framing; the most MBA-legible fund voice in the set,Weekly
Syncracy research (Ryan Watkins),Research,Syncracy Capital,Recurring,"Liquid fund, not a VC target - but the research is flagged worth reading",Monthly
Archebyte,Podcast,Archetype (Ash Egan),Recurring,Archetype's front door; pairs with their NYC in-person events,Weekly
The Chopping Block,Podcast,Dragonfly (Haseeb Qureshi),Recurring,Dragonfly's public voice; RWA/stablecoin pivot commentary,Weekly
Layer One,Podcast,Fintech Collective,Recurring,Their own podcast; complements the newsletter,Weekly
On The Brink,Podcast,Castle Island (Nic Carter),Recurring,Engage BEFORE the post-close Talos intro; the tracker's explicit instruction,Now
The Defiant (Ken Seiff appearances),Podcast,Blockchange via The Defiant,Occasional,Seiff is flagged accessible via podcast appearances,Monthly
CoinFund research + podcast,Research,CoinFund,Recurring,Market-structure focus; engage before NYC events,Weekly
North Island / Travis Scher podcasts,Podcast,North Island Ventures,Occasional,Scher is public; NIV has advertised associate roles - watch openings,Monthly
Stablecon,Conference,NYC stablecoin conference (Fintech Collective-adjacent),Confirm 2026-27 dates,THE stablecoins/payments room in NYC; highest thesis-fit event on the list,Now
Consensus / Permissionless (NYC editions),Conference,Industry,Confirm dates,Attend when in NYC per the research's recommendation,Monthly
Breakpoint,Conference,Solana ecosystem,Confirm dates,Dudas (6MV) keynotes here; the Solana-weighted funds' room,Monthly
Archetype NYC events,Events,Archetype,Recurring,"Explicit engagement hook: RSVP culture, in-person",Weekly
Consensys Tachyon / ecosystem events,Events,Consensys Mesh,Recurring,Brooklyn ecosystem surface; lower priority,Monthly

"Hooks as named in the Aug 2026 research; CBS-cycle actions from the Timeline tab. Confirm 2026-27 conference dates when registration opens, and exact CBS dates on the CMC portal after orientation. Rule of thumb from the research: subscribe and engage BEFORE reaching out."
