Target Profiles: Depth per Target

Target,Lane,HQ / Scale,Crypto / Deal Evidence,Hiring Reality,Entry Route & People,Timing,Watch Items
PJT Partners,1 - OCR,"NYC HQ; boutique scale, small associate classes","NinjaTrader (Kraken buy), Bitnomial (sell), Reap (Payward buy); Core Scientific Ch. 11 debtors and co-sell to CoreWeave","Structured summer associate program; RSSG restructuring recruits on a separate, MBA-heavy track",OCR plus IBC closed lists; build 2 to 3 advocates before January,Sept to Jan,"Flow concentrates in the Payward relationship; pitch market-structure conviction, not one client. If RSSG appeals, decide early; the tracks split"
Evercore,1 - OCR,NYC HQ; largest associate class among the EBs,Co-lead FA to Siris on the $4.2B Equiniti sale,Structured program; best raw odds in the EB set,Core OCR name; consistent CBS hirer,Sept to Jan,"Crypto exposure is episodic; the play is brand plus optionality, not thesis density"
Moelis,1 - OCR,NYC HQ,"Voyager, Genesis, BlockFi debtor mandates; Bitfarms buy-side; Core Scientific co-sell",Structured program; restructuring and M&A staffing can cross,Standard OCR process,Sept to Jan,Tied with PJT for most mandates in the dataset; restructuring flow is the counter-cyclical hedge if crypto M&A slows
Centerview,1 - OCR,NYC HQ; tiny class,"Celsius Ch. 11 debtor banker, ~$20M fee allocation",Most selective of the group; generalist staffing,OCR,Sept to Jan,"Lowest odds, highest per-seat prestige; crypto is incidental to the platform"
Perella Weinberg,1 - OCR,NYC HQ,FTX debtors banker (ran LedgerX and FTX Europe sales); Celsius creditors,Structured program,OCR,Sept to Jan,Estate work built the crypto muscle; ask how the market-structure franchise carries forward post-FTX
Lazard,1 - OCR,NYC HQ,Co-FA to FTAI on the $1.5B Long Ridge sale,Structured program,OCR,Sept to Jan,Episodic crypto; portfolio filler only
Houlihan Lokey,1 - OCR,NYC and LA; restructuring powerhouse,Genesis creditors; creditor-side across the 2022-24 bankruptcies,Structured; corporate finance and restructuring tracks,OCR,Sept to Jan,"Creditor-side seats see crypto in downturns, not upcycles"
Guggenheim,1 - OCR,NYC HQ,Fintech coverage; no disclosed crypto credits surfaced 2024-26,Structured program,OCR,Sept to Jan,Weakest crypto evidence in Tier 1; deprioritize unless networking comes cheap
Jefferies,1 - OCR,"NYC HQ; full platform, larger associate class","Three sell-sides in 15 months (NinjaTrader, Kiavi, Long Ridge) plus FTX creditors committee",Structured program; conversion odds better than the EBs,OCR,Sept to Jan,Best evidence-to-accessibility ratio in the formal cycle; promoted to co-lead in your portfolio
Cantor Fitzgerald,2 - Direct,NYC HQ; Brandon Lutnick era,"Twenty One (Tether/SoftBank), Securitize listing, Strive buy-side on Semler ($1.4B); bitcoin financing book",Posts MBA-level roles; less structured; the digital assets group is the target,NYC postings plus direct outreach; name the Semler mandate in the first note,Rolling,DAT derating is the franchise risk; the Strive M&A mandate shows diversification beyond SPACs
FT Partners,2 - Direct,SF HQ with NYC and London offices; a few hundred bankers,"Deribit ($2.9B), Hidden Road ($1.25B), WonderFi, Equiniti co-lead; the #1 sell-side franchise",Hires associates directly via its Greenhouse board; apprenticeship model; postings cite blockchain and crypto knowledge,Direct application plus outreach to the crypto vertical; founder-led (Steve McLaughlin),Rolling; start after the IBC resume book,"Highest crypto rep density of any seat that hires; culture is famously punishing, so diligence with former juniors before committing"
KBW (Stifel),2 - Direct,NYC HQ; Stifel-owned,Stifel advised Riot on Block Mining; KBW crypto skews research and ECM,Mostly lateral; selective postings,FIG alumni network,Rolling,"Bank-crypto convergence (charters, stablecoin issuers) could re-rate this seat quickly"
LionTree,2 - Direct,NYC; founder-led (Aryeh Bourkoff),Exclusive sell-side to Semler on the Strive merger; Equiniti syndicate for Siris,"Very selective, relationship-driven",Network; NYC media and TMT events,Rolling,"Semler shows real digital-asset appetite; small intake, treat as opportunistic"
Galaxy (IB arm),3 - Network,"NYC HQ; NASDAQ: GLXY; IB sits beside trading, asset management, and Ventures",Bitstamp and Aplo exclusive sell-sides,Lateral hires; occasional postings,CBS alumni plus direct outreach; one relationship opens IB and Ventures,"Post-close, spring 2027","Your single best asymmetric bet: crypto-native brand, live deal flow, a ventures arm, and a lateral-shaped profile"
Architect Partners,3 - Network,"Palo Alto; senior-only, roughly a dozen advisors (founder Eric Risley)","Coinme, Caleb & Brown, Magic Labs; alerts cover the whole market",No junior program,"Relationship build: engage the research, deal-adjacent intros",2029+ landing spot,Their M&A alerts double as your ongoing market map; every alert names advisors
Areta,3 - Network,Berlin HQ with Singapore and Dubai; founded 2022,"Self-reported 15+ mandates in 2025, $1B+ cumulative; Bulletin, ht.digital",No formal program; small team,Network; the Europe angle fits your London and Brazil background,Opportunistic,Counts are the firm's own claims; verify mandate quality in any conversation
Broadhaven,3 - Network,NYC; advisory and Broadhaven Ventures under one roof,BitMEX sale mandate; ErisX to Cboe,"Small team, lateral",One relationship serves both tracks,Opportunistic,The quiet dual-track shop; fewer applicants think of it
Cohen & Co Capital Markets,3 - Network,NYC,ProCap and Nakamoto lead FA; Stronghold sell-side,Opportunistic hiring,Watch postings plus outreach,Rolling,DAT lane concentration; same derating risk as Cantor without the balance sheet
CRB Securities,3 - Network,"Fort Lee, NJ (Cross River)",Reap co-sell with Goldman Sachs (Asia),Early build-out,Speculative approach; small enough that one good conversation matters,Rolling,"If a franchise is being built, early joiners get outsized roles"
Kraken / Payward,4 - Corp Dev,"SF HQ, remote-first; co-CEOs Arjun Sethi and David Ripley","8+ acquisitions in 18 months (NinjaTrader, Bitnomial, Reap, Small Exchange, Magna, Magic Labs, Breakout); PJT and Jones Day outside, corp dev quarterbacking inside",Just-in-time; tiny team; pre-IPO equity changes the comp math,Ecosystem network; watch strategy and corp dev postings around the listing,Around the IPO window,The highest-cadence corp dev seat in crypto; your CoS and interim-CFO work is the job description
Coinbase,4 - Corp Dev,Remote-first; corp dev and ventures are one org,"Deribit ($2.9B) plus banker-less bolt-ons: Echo, Liquifi, Iron, Spindl",Elite in-house shop; runs structured MBA internship programs,Fall applications plus alumni,Fall for summer roles,"Best learning seat, hardest door; the MBA internship is the wedge"
Stripe,4 - Corp Dev,SF and Dublin,Bridge ($1.1B) and Privy with no bankers disclosed,Pure network hiring; no MBA machine,Warm intros only; payments and stablecoin thesis,Opportunistic,"Corp dev's hardest door; treat as a two-year relationship project, not a fall application"
Ripple,4 - Corp Dev,SF HQ with an NYC office,"Hidden Road ($1.25B), GTreasury ($1B), Rail, BC Payments; a deal a quarter",Posts corp dev and integration roles,Postings plus network; integration experience is the wedge,Rolling,"Integration capacity, not sourcing, is the bottleneck; your Optimus integration work maps directly"
Mastercard,4 - Corp Dev,"Purchase, NY HQ","BVNK up to $1.8B, its biggest crypto deal; Start Path accelerator",Structured MBA recruiting; corp dev and strategy tracks,The most CBS-accessible corp dev door; OCR-adjacent,Fall cycle,TradFi comp and brand with a proven crypto mandate
Talos,4 - Corp Dev,NYC HQ; CEO Anton Katz,"Cloudwall, Skolem, D3X, Coin Metrics ($100M+); principal-to-principal, Fenwick as counsel, no bankers ever disclosed",Tiny; hires around deals,POST-CLOSE ONLY: no networking while Project Optimus is live; afterward the warmest door available,After close,"Their entire M&A model is the skill you are demonstrating right now; discipline until signing, then move"
Galaxy Ventures,5 - Venture,NYC; Fund I closed at $175M+ (Jun 2025); leads Will Nuelle and Mike Giampapa,"Thesis: stablecoins, payments, tokenization; ~30-company portfolio plan",Small team; MBA-relevant roles rare but the platform hires,Same relationship as Galaxy IB; CVF-compatible,CVF in Sept; rolling,Their thesis is your Deal Evidence tab at the entry stage; the exit comps you built are their underwriting
