Ranked Targets — Crypto & FinTech M&A
"M&A only. Ranked on deal flow x access x alumni door, with your three priorities at the top. Full profiles on the Bank Profiles tab."
Fill in 'Your Notes' yourself. OCR firms compete for the Sept–Jan calendar; non-OCR firms run rolling and are additive.

#,Bank / Boutique,OCR at CBS?,GROUP TO APPLY FOR,Why this rank,Crypto & FinTech M&A Deal Flow,CBS Alumni Contact,Your Notes
1,FT Partners (Financial Technology Partners),NO — and likely NO MBA summer associate programme at all (researched Aug 2026),"Investment Banking, BLOCKCHAIN / DIGITAL ASSETS vertical — but note the entry route: their structured summer programme is an UNDERGRAD Summer ANALYST programme (college juniors, SAT/ACT required). Associate roles are EXPERIENCED-HIRE laterals: 2+ yrs full-time IB in M&A sell-side advisory, FINRA Series 63 + 79. Apply direct via Greenhouse / recruiting@ftpartners.com.","YOUR PICK, but re-scope it: this is a FULL-TIME 2028 / lateral target, not a summer-2027 seat. The good news — you plausibly clear their lateral bar already: Brasilpar was ~2 yrs as an M&A analyst on live buy- and sell-side mandates, which is exactly what they ask for. Series 63/79 are normally obtained post-offer under sponsorship. Most MBAs cannot make that argument; you can. ACTION: email recruiting@ftpartners.com and ask directly whether an MBA summer associate programme exists for 2027 — one ambiguous source says summer interns sit as 'Analyst or Associate'.","Hidden Road $1.25B (sell, Ripple, Apr 2025); Deribit $2.9B (sell, Coinbase, May 2025); WonderFi C$250M (sell, May 2025); Equiniti $4.2B (co-lead sell, May 2026)","Mike Pascucci — Managing Director, CBS MBA '12"
2,Jefferies,YES — OCR (largest associate class),Investment Banking — FINTECH & WEALTH group (sits within FIG).,"YOUR PICK, and the one that carries the summer-2027 seat: the other two priorities cannot give you a structured internship. Three crypto sell-sides, a named fintech group, the biggest class of the group, and a CBS alum running that exact team.","NinjaTrader $1.5B (sell, Mar 2025); Long Ridge $1.5B (co-sell, Apr 2026); Kiavi $717M (sell, Figure, Jun 2026)","John Erwin — MD, FinTech & Wealth Investment Banking, CBS MBA '06"
3,Galaxy Digital Partners,"NO — lateral hires, occasional postings","GALAXY DIGITAL PARTNERS — the investment banking / advisory arm. NOT Galaxy Ventures, NOT Asset Management, NOT Global Markets, NOT Data Centers.","YOUR PICK. Largest crypto-native advisory platform and both mandates were exclusive sell-sides. One relationship opens IB and Ventures. Timing: post-Optimus close, spring 2027.","Bitstamp $200M (excl. sell to Robinhood, Jun 2024); Aplo (excl. sell to Coincheck, Sep 2025)",—
4,Barclays,YES — OCR,"Investment Banking — FIG, FINTECH COVERAGE.","Most active bulge bracket in crypto by M&A count, a named fintech group, a CBS alum sitting in it, and a bigger class than any boutique. Gives you fintech breadth if crypto cools in 2027.","Bitstamp $200M (buy, Jun 2024); Long Ridge $1.5B (co-buy + bridge, Apr 2026); Kiavi $717M (excl. buy, Jun 2026); NEOS $2.25B (excl. sell, Aug 2026)","Taiwo O. — FIG FinTech Coverage, CBS MBA"
5,PJT Partners,YES — OCR,"STRATEGIC ADVISORY (the M&A arm). PJT also has RSSG, Park Hill and Camberview — separate tracks. Say 'strategic advisory' every time.","Highest crypto M&A credit count of any elite boutique, all through the Payward relationship. No alumni door, so you win it on thesis and IBC advocates.","NinjaTrader $1.5B (buy, Kraken, Mar 2025); Core Scientific $9B (co-sell, Jul 2025); Bitnomial $550M (excl. sell, Apr 2026); Reap $600M (buy, May 2026)",—
6,Goldman Sachs,YES — OCR,Global Banking & Markets — FIG; ask for fintech / digital-assets coverage within FIG.,"Most crypto M&A credits in the dataset and the biggest tickets. Hardest door on the list — worth one advocate, not a campaign.","GTreasury $1B (excl. sell for Hg, Oct 2025); Core Scientific $9B (buy, CoreWeave, Jul 2025); Equiniti $4.2B (excl. buy, Bullish, May 2026); Reap $600M (co-sell Asia, May 2026)",—
7,Evercore,YES — OCR (consistent CBS hirer),Advisory — FIG; ask to be pointed at the fintech bankers.,"Your odds hedge: largest EB associate class and a reliable CBS hirer. Only one crypto credit, so lead with the fintech franchise and Gol/Smiles, not a crypto thesis.","Equiniti $4.2B (co-lead sell for Siris with FT Partners, May 2026)",—
8,Broadhaven Capital Partners,"NO — small team, lateral",BROADHAVEN CAPITAL PARTNERS (the advisory arm). Broadhaven Ventures is the separate VC arm under the same roof.,"Pure fintech and market-structure M&A, and the only firm where one relationship serves your IB and VC lanes at once. Both founding partners are CBS.",BitMEX sale mandate (live process); ErisX to Cboe (historic market-structure credit),"Jerry von Dohlen — Founder & Partner, CBS MBA '96; James Denton — Partner, CBS MBA '85"
9,Cohen & Company Capital Markets,NO — opportunistic hiring,COHEN & COMPANY CAPITAL MARKETS (CCM) — Blockchain & Digital Assets practice. NOT Cohen & Company Asset Management.,The best alumni door in your IB lane — an alum heads the practice. But the work is de-SPAC structuring and PIPE placement with one true sell-side; ask Lopez directly whether the group runs strategic M&A beyond the DAT lane.,"Stronghold Digital $125M (sell, Aug 2024)","Christian J. Lopez — MD, HEAD of Blockchain & Digital Assets, CBS MBA; Rahul Jasuja — MD, CBS MBA"
10,Architect Partners,NO — no junior programme,No departments — senior-only partnership (~12 advisers). Approach the partners directly.,"Three exclusive crypto sell-sides and the best mid-market crypto franchise, but no seat for you now. Engage the M&A alerts — that research IS the relationship. A 2029+ landing spot.","Coinme + Sequence ~$250M (excl. sell, Jan 2026); Magic Labs wallet business (excl. sell, Jul 2026); Caleb & Brown",—
11,Cantor Fitzgerald,NO — posts roles; less structured MBA path,"TWO qualifying entry points: (a) DIGITAL ASSETS — a named sector coverage team; or (b) TECHNOLOGY group, which covers fintech and is the fastest-growing team on the platform (nine senior hires). Cantor Equity Partners (CEP/CEPT) are the affiliated SPAC vehicles — separate. Bitcoin financing desk separate again.","CORRECTED Aug 2026 after direct research: Cantor runs a full-service IB — ECM, DCM, M&A and restructuring under Sage Kelly, Co-CEO and Global Head of IB — and Digital Assets is a NAMED coverage sector. Deal mix ~46 M&A to 84 funding rounds, so capital-markets weighted, but the M&A practice is real. Crypto flow to date is DAT/de-SPAC heavy. Two named groups matching your mandate is more than most banks offer.","Semler Scientific ~$1.4B (buy-side FA to Strive, Sep 2025). Digital Assets flow to date DAT/de-SPAC weighted: Twenty One Capital (Apr 2025); Securitize $1.25B (Oct 2025).",—
12,Houlihan Lokey,YES — OCR,CORPORATE FINANCE — FinTech group. (Corporate Finance is the M&A division.),"#1 globally in M&A by deal count and mid-market focused, which matches where most crypto deals actually clear. Zero crypto credits — a fintech pitch only.",None in crypto; high-volume mid-market fintech M&A,—
13,LionTree,NO — relationship-driven,"Generalist merchant bank, TMT and media focus. No fintech or crypto group — approach the firm, not a desk.","Ran the exclusive Semler sell-side, the first DAT stock-for-stock merger. Real digital-asset appetite but a very small intake.","Semler Scientific ~$1.4B (EXCL. sell vs Strive, Sep 2025); Equiniti $4.2B (sell syndicate, May 2026)",—
14,Moelis,YES — OCR,Investment Banking — FIG (generalist M&A coverage).,"Two crypto M&A credits and full OCR access. Solid, not differentiated — no named fintech group and no alumni door.","Stronghold Digital $125M (buy, Bitfarms, Aug 2024); Core Scientific $9B (co-sell with PJT, Jul 2025)",—
15,JPMorgan,YES — OCR,"Investment Banking — FIG, FINANCIAL TECHNOLOGY coverage. (Kinexys is a product unit, not IB — do not target it.)","Dedicated fintech coverage and a huge platform. Note the Adecoagro mandate came from LatAm/agri coverage, not fintech — so the crypto flow into the fintech team is thinner than the credit count suggests.","Adecoagro ~$615.5M (excl. sell vs Tether, Mar 2025); WonderFi C$250M (buy, Robinhood, May 2025)",—
16,Clear Street,VERIFY — growing platform,Investment Banking — BLOCKCHAIN & DIGITAL INFRASTRUCTURE group.,A crypto-native IB group run by a CBS alum inside a prime broker — directly adjacent to your COR PRIME operating background. No lead M&A credit yet.,None as lead adviser; co-placement on ProCap ~$1B (Jun 2025),"Collin Finnerty — MD, Blockchain & Digital Infrastructure IB, CBS MBA '20"
17,Piper Sandler,VERIFY — runs MBA recruiting; confirm CBS,Financial Services Group — FinTech coverage (built on the absorbed Sandler O'Neill FIG franchise).,One of the deepest FIG franchises on the street and the biggest gap in your original list. No crypto credit — a fintech pitch.,"None surfaced in crypto; high-volume bank, specialty finance and payments M&A",—
18,Lazard,YES — OCR,Financial Advisory — FIG.,"One credit, and it came through Power & Energy Infrastructure (FTAI was a power asset), not a digital-assets franchise. Portfolio filler.","Long Ridge $1.5B (co-sell for FTAI, Apr 2026)",—
19,Union Square Advisors,"VERIFY — small, likely direct",Technology M&A — FINTECH vertical.,Pure tech M&A boutique with a CBS MD. No crypto credit — fintech framing only.,None disclosed in crypto,"Phillip Kim — Managing Director, CBS MBA '05"
20,William Blair,VERIFY — has MBA summer associate programme; confirm CBS,Technology & Services — FINTECH / PAYMENTS coverage.,Active upper-middle-market fintech and payments M&A. No crypto credit.,None surfaced in crypto; recurring payments and fintech M&A,—
21,Lincoln International,VERIFY — has hired CBS MBA associates,Technology group (fintech sits within Technology / Business Services).,Nine CBS people including the CEO — the densest alumni cluster of any bank here — but one crypto credit and a mid-market generalist mandate.,"GRIID Infrastructure $155M (sell FA + fairness opinion, CleanSpark, Jun 2024)","Rob Brown — CEO, CBS MBA; Cole Ahnell — Associate, CBS '23; plus 7 more"
22,Arma Partners,"NO — European, no US OCR",FinTech sector team (London).,Europe's leading independent digital-economy adviser and a natural fit for your London network. No crypto credit surfaced.,None surfaced in crypto; heavy European fintech and software M&A,—
23,Morgan Stanley,YES — OCR,"Investment Banking — Global Financial Institutions, FINTECH coverage.","Named fintech leadership and a top-tier platform, but zero crypto M&A credits. OCR breadth option.",None disclosed in crypto,—
24,Citigroup,YES — OCR,"Banking — FIG, Financial Technology. (Citi Token Services is a product build, not IB.)",Zero crypto M&A — its only crypto credit is capital markets. OCR breadth option only.,None in crypto M&A,—
25,Bank of America,YES — OCR,"Investment Banking — Global FIG, FinTech coverage.","No crypto credit; real fintech coverage. OCR breadth option, and there is a CBS associate inside to talk to.",None disclosed in crypto,"Yusuf Ibrahim — IB Associate, fintech/tech, CBS MBA '25"

"Rows 1–3 are your stated priorities (gold). Ranking below that weighs crypto/fintech M&A deal flow, structural access, and whether a CBS alum sits inside. OCR status reflects general MBA-recruiting patterns and your Aug 2026 tracker research — CBS's actual 2026-27 OCR employer roster lives on the CMC portal and firms move on and off school lists every year, so reconcile this column in week one before committing your autumn. Group names are general knowledge (Jan 2026 horizon); banks rename coverage groups constantly, so confirm the exact name before using it in an email. Deal attributions are from press releases, law-firm and bank announcements, SEC filings and Architect Partners alerts through Aug 21, 2026."
