Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
6th Man Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Pre-seed to A; equity + tokens,"Consumer, Solana, gaming, media","Mike Dudas, Serge Kassardjian","Magic Eden, io.net, Pump.fun",Fund II $145M,S1,R,,Door: Dudas highly public; NYC events; Full detail on VC Fund Database tab
Archetype,"New York, NY",NYC,HQ,Crypto-native VC,First check to Series A; equity + liquid,"Stablecoins, payments infra, crypto x AI, DePIN","Ash Egan, Katherine Wu","Privy (-> Stripe), Rated",Fund III $100M+ (2025),S1,R,,Door: Archebyte podcast; NYC events; Full detail on VC Fund Database tab
Castle Island Ventures,"Boston, MA",US Other,- (Boston),Crypto-native VC,Early-stage equity,"Infrastructure, bitcoin, stablecoins","Nic Carter, Matt Walsh","Talos, Coin Metrics",Multiple funds,S1,R,,Door: On The Brink; occasional fellows; Post-close Talos angle; on VC Targets tab
CoinFund,"Brooklyn, NY",NYC,HQ,Crypto-native VC,Pre-seed to growth; equity + liquid,"Market structure, stablecoins, DeFi, AI agents","Jake Brukhman, Alex Felix","Solana, Polygon, Dapper; recent: Veda, Ether.fi",$550M+ recent vehicles,S1,R,,Door: Has hired early-career; NYC events + CVF; Full detail on VC Fund Database tab
Dragonfly,NYC + Singapore,NYC,Major office,Crypto-native VC,Seed to B+; $3-30M; equity + liquid,"Financial infra, stablecoins, RWA","Haseeb Qureshi, Rob Hadick","Polymarket, Ethena, Avalanche",Fund IV $650M (2026); ~$4B AUM,S1,R,,Door: Chopping Block podcast; DOJ caveat on one GP; full detail on VC Fund Database tab
Fintech Collective,"New York, NY",NYC,HQ,Fintech VC w/ crypto,Seed/A; $500K-4M equity,"Stablecoins, payments, capital markets","Brooks Gibbins, Gareth Jones",171 investments,~$500M AUM,S1,R,,"Door: Newsletter, Layer One, Stablecon; Full detail on VC Fund Database tab"
Galaxy Ventures,"New York, NY",NYC,HQ,One-roof platform,Early-stage equity; $3-5M checks,"Stablecoins, payments, tokenization","Will Nuelle, Mike Giampapa","Ethena, Monad, Plume, Fireblocks (b/s)",Fund I $175M+ (2025),S1,R,,Door: Platform hires; CVF-compatible; Full detail on VC Fund Database tab
Illuminate Financial,NYC + London,NYC,Office,Capital-markets fintech VC,Seed/A equity; strategic LPs are banks,"Capital markets infrastructure, digital assets, post-trade",Mark Beeston (ex-ICAP),Digital-asset market infra bets,~$500M+ AUM (verify),S1,K,,Door: Bank-LP network; market-structure bullseye; Your prime-lending seat speaks their exact language
Nyca Partners,"New York, NY",NYC,HQ,Fintech VC w/ crypto,Seed to B equity,"Payments, capital markets fintech; selective crypto",Hans Morris (ex-Visa president),Blockchain-adjacent fintech portfolio,~$1B+ AUM (verify),S1,K,,Door: Hires MBAs; NYC; payments royalty; Thesis-adjacent door with real MBA precedent
ParaFi Capital,"New York, NY",NYC,HQ,Crypto-native VC + liquid,Venture + liquid; institutional,"DeFi, market structure, stablecoin infra",Ben Forman (ex-KKR),"Aave, Compound, Chainalysis (verify current)",~$1B+ AUM (verify),S1,K,,Door: Institutional DNA; NYC; strong thesis fit; Major NYC omission from the research - verify current footprint
Portal Ventures,"New York, NY",NYC,HQ,Crypto-native VC,Pre-seed lead; equity + tokens,Fundamentals-driven; crypto rails,"Evan Fisher, Catrina Wang",Uranium Digital,Fund II $75M (2024),S1,R,,Door: Hires early-career; MBA-legible; Full detail on VC Fund Database tab
Union Square Ventures,"New York, NY",NYC,HQ,Generalist w/ crypto,Series A equity; small funds,Thesis 3.0; crypto since 2013,"Fred Wilson, Brad Burnham","Coinbase, Uniswap, Polygon",$625M (2022 funds),S1,R,,Door: Analyst/fellow history; rewards writing; Full detail on VC Fund Database tab
VanEck Ventures,"New York, NY",NYC,HQ,Corporate fund,Pre-seed/seed; $500K-1M,"Stablecoins, tokenization, fintech + AI","Wyatt Lonergan, Juan Lopez",Building,$30M debut (2024),S1,R,,Door: Accessible; media-active; Full detail on VC Fund Database tab
Variant,"Brooklyn, NY",NYC,HQ,Crypto-native VC,Pre-seed/seed; equity + tokens,Ownership economy; autonomy (crypto x AI),"Jesse Walden, Li Jin","Uniswap, Phantom, Magic Eden, Flashbots",Variant 4 $222M (2026),S1,R,,Door: Writing-first outreach; Full detail on VC Fund Database tab
a16z crypto,Menlo Park + NYC,NYC,Office,Mega-platform,Seed to growth; $10-60M,"Stablecoins, tokenization, perps, prediction mkts, AI","Chris Dixon, Ali Yahya","Coinbase, Uniswap, Solana",Fund 5 $2.2B; $9.8B total,S2,R,,Door: CSX accelerator; active recruiting; Dixon = Columbia alum; Full detail on VC Fund Database tab
Ava Labs / Blizzard Fund,"Brooklyn, NY",NYC,HQ,Ecosystem fund,Ecosystem equity + tokens,Avalanche ecosystem,Emin Gun Sirer,150+ investments,$200M+ (2021),S2,R,,Door: Ecosystem events; Full detail on VC Fund Database tab
