VC Universe
The global crypto-fund universe with NYC reachability  |  149 funds  |  Filter the NYC Presence column to plan coffee-chat range
"Src: R = verified Aug 2026 research; K = general knowledge - VERIFY. NYC Presence: HQ / Metro (commutable) / Office / Team / People (individuals based there) / Verify (unconfirmed) / '-' none known. K-confidence, Jan 2026 horizon - confirm before planning outreach around it. Yellow column O is yours.",,,,,,,,,,Entries:,149

Fund,HQ,NYC Presence,Region,Type,Scale (approx),Stage & Instruments,Thesis / Focus,Key People,Portfolio / Evidence,MBA Door,Priority,Src,Notes,Your Flag
CoinFund,"Brooklyn, NY",HQ,NYC,Crypto-native VC,$550M+ recent vehicles,Pre-seed to growth; equity + liquid,"Market structure, stablecoins, DeFi, AI agents","Jake Brukhman, Alex Felix","Solana, Polygon, Dapper; recent: Veda, Ether.fi",Has hired early-career; NYC events + CVF,S1,R,Full detail on VC Fund Database tab; On working tab
Archetype,"New York, NY",HQ,NYC,Crypto-native VC,Fund III $100M+ (2025),First check to Series A; equity + liquid,"Stablecoins, payments infra, crypto x AI, DePIN","Ash Egan, Katherine Wu","Privy (-> Stripe), Rated",Archebyte podcast; NYC events,S1,R,Full detail on VC Fund Database tab; On working tab
Variant,"Brooklyn, NY",HQ,NYC,Crypto-native VC,Variant 4 $222M (2026),Pre-seed/seed; equity + tokens,Ownership economy; autonomy (crypto x AI),"Jesse Walden, Li Jin","Uniswap, Phantom, Magic Eden, Flashbots",Writing-first outreach,S1,R,Full detail on VC Fund Database tab; On working tab
Galaxy Ventures,"New York, NY",HQ,NYC,One-roof platform,Fund I $175M+ (2025),Early-stage equity; $3-5M checks,"Stablecoins, payments, tokenization","Will Nuelle, Mike Giampapa","Ethena, Monad, Plume, Fireblocks (b/s)",Platform hires; CVF-compatible,S1,R,Full detail on VC Fund Database tab; On working tab
6th Man Ventures,"New York, NY",HQ,NYC,Crypto-native VC,Fund II $145M,Pre-seed to A; equity + tokens,"Consumer, Solana, gaming, media","Mike Dudas, Serge Kassardjian","Magic Eden, io.net, Pump.fun",Dudas highly public; NYC events,S1,R,Full detail on VC Fund Database tab; On working tab
Placeholder,"New York, NY",HQ,NYC,Crypto-native hybrid,~$150M,Long-hold venture + liquid,Thesis-driven protocols,"Chris Burniske, Joel Monegro","Ethereum, Solana, Celestia, Monad",Research library; slower cadence,S2,R,Full detail on VC Fund Database tab
Hivemind Capital,"New York, NY",HQ,NYC,Multi-strategy hybrid,$1.5B launch mandate,Venture sleeve + liquid + trading,Multi-strategy digital assets,Matt Zhang,Varied,Institutional; less founder-facing,S3,R,Full detail on VC Fund Database tab
Blockchange Ventures,"New York, NY",HQ,NYC,Crypto-native VC,Funds I-IV,Early-stage; equity + tokens,Base layers / L1s,Ken Seiff,"Solana, Polkadot, Near, Arbitrum",Seiff podcast-accessible,S2,R,Full detail on VC Fund Database tab
North Island Ventures,"New York, NY",HQ,NYC,Crypto-native VC,~$300M AUM,Early-stage; $250K-3M checks,"Stablecoin payments, interoperability, DeFi","Travis Scher, Glenn Hutchins","Axelar, Flow, Ether.fi, Utila",Has advertised associate roles,S2,R,Full detail on VC Fund Database tab; On working tab
Portal Ventures,"New York, NY",HQ,NYC,Crypto-native VC,Fund II $75M (2024),Pre-seed lead; equity + tokens,Fundamentals-driven; crypto rails,"Evan Fisher, Catrina Wang",Uranium Digital,Hires early-career; MBA-legible,S1,R,Full detail on VC Fund Database tab; On working tab
Reciprocal Ventures,"New York, NY",HQ,NYC,Crypto-native VC,Fund III raising ~$100M,Pre-seed/seed; equity + tokens,"DeFi, institutional capital markets, payments","Michael Steinberg, Craig Burel","Solana (seed), The Graph",Diffusion-thesis research,S2,R,Full detail on VC Fund Database tab
M31 Capital,"New York, NY",HQ,NYC,Multi-strategy hybrid,~$100M Web3 fund,Venture sleeve; liquid-heavy,Broad web3,Nathan Montone,"Huddle01, Euler",Modest cadence,S3,R,Full detail on VC Fund Database tab
Dragonfly,NYC + Singapore,Major office,NYC,Crypto-native VC,Fund IV $650M (2026); ~$4B AUM,Seed to B+; $3-30M; equity + liquid,"Financial infra, stablecoins, RWA","Haseeb Qureshi, Rob Hadick","Polymarket, Ethena, Avalanche",Chopping Block podcast,S1,R,DOJ caveat on one GP; full detail on VC Fund Database tab; On working tab
