NYC Crypto VC Fund Database: Full Detail (verified Aug 2026)
"Every fund from the Aug 22, 2026 deep research at full fidelity: complete fund lineages, founders, LPs, and 2025-26 deal activity  |  Sections: NYC crypto-native, bicoastal, generalists, corporate/metro, excluded"

Fund,HQ / Main Location,NYC Presence,Status,Founded,Founders & Key People,Fund History (all vehicles),Strategy & Checks,Thesis / Focus,Portfolio,Recent Activity 2025-26,LPs / Backers,Engagement Hooks,Priority,Notes / Caveats
CoinFund,"Brooklyn, NY",HQ,Active,2015,"Jake Brukhman (Managing Partner/CEO), Aleksandr Bulkin (co-founder), Alex Felix (Managing Partner/CIO); registered investment adviser","$550M+ raised over 18 months across vehicles: $158M early-stage fund (2023, above its $125M target); Ventures I $300M (2022, Series A focus); Seed IV; deploying from Fund III and other vehicles in 2025-26",Pre-seed through growth; equity + liquid tokens; network lifecycle investing approach,"DeFi, infrastructure, AI agents, market structure, stablecoins/payments","Solana, Polygon, Dapper Labs, Blockdaemon","Recent deals: Veda, Dakota, Ether.fi, Irys, Kadena, Trace Finance, Pluralis",Not disclosed,"Active research and publishing, partner podcasts, regulatory engagement, careers page",S1,RIA registration is an institutional-credibility marker in this set
Archetype,"New York, NY",HQ,Active,2021,"Ash Egan (Founder/GP; co-launched ConsenSys Ventures, ex-Accomplice); Katherine Wu (ex-Coinbase Ventures)",$55M debut fund (2021); Fund II $155M (2022); Fund III $100M+ total commitments (Sep 2025); ~$350M reported assets,"Concentrated, high-conviction first check to Series A; equity + liquid positions (holds Solana and Ethereum)","Onchain social, stablecoins, payments infrastructure, modular stacks, crypto x AI, DePIN","Privy (acquired by Stripe), Rated, US Bitcoin Corp; Egan backed Chainalysis pre-Archetype",Fund III close Sep 2025,"Pensions, endowments, sovereign wealth funds, funds of funds, family offices","Archebyte podcast, NYC in-person events, content platform",S1,Egan frames the deliberately small Fund III as buying extreme selectivity and conviction per team
Variant,"Brooklyn, NY (1027 Grand St)",HQ,Active,2020,Jesse Walden (ex-a16z crypto); Li Jin (co-GP; her Atelier Ventures merged in),"$22.5M (2020); $110M (2021); Fund III $450M total, split $150M seed + $300M opportunity (2022); Variant 4 $222M (Jun 2026)",Pre-seed/seed; equity + tokens,Ownership economy; Variant 4 reframed around autonomy (crypto x AI),"Uniswap, Phantom, Magic Eden, Mirror, Zora, Foundation, Flashbots, Blockaid",Variant 4 close Jun 2026,Not disclosed,Heavy research and writing cadence; thesis essays,S1,Walden's view: within four years crypto investor will be as generic a label as internet investor
Galaxy Ventures,"New York, NY",HQ,Active,Fund I 2024-25; platform investing since 2018,Will Nuelle and Mike Giampapa (fund leads); affiliate of Galaxy (Nasdaq: GLXY; Mike Novogratz),"Fund I $175M+ final close (Jun 2025), above its $150M target; first external venture capital after 120+ balance-sheet investments since 2018",Early-stage equity plus co-investment; ~30 companies; $3-5M checks,"Stablecoins, payments, tokenization, and supporting infrastructure","Ethena, Monad, Plume, 1Money, DoubleZero, Citrea, Arch Lending; balance-sheet legacy: Pyth, Chaos Labs, Fireblocks, Messari",Deploying Fund I,"Institutional investors, family offices, fund-of-funds, strategic corporates (names undisclosed)",Galaxy Research; platform team; ~550-person institutional footprint,S1,"Exits include Tagomi and Bison Trails, both to Coinbase; Novogratz cast the above-target close in a hard market as proof of edge"
6th Man Ventures,"New York, NY",HQ,Active,2021,"Mike Dudas (co-founder of The Block), Serge Kassardjian",Fund II $145M (~2022),Pre-seed to Series A; equity + tokens; checks up to $4-5M; roughly one deal per month; ~50% Solana-weighted,"Consumer crypto, apps, infrastructure, gaming, media","Magic Eden, io.net, Livepeer, Pump.fun","Recent: Veera, worm.wtf, Inversion","LPs included Galaxy Vision Hill; Marc Andreessen, Chris Dixon, and Bill Ackman invested personally",Dudas is highly public on X; Breakpoint keynotes,S1
Placeholder,"New York, NY",HQ,Active (slower),2017,"Chris Burniske, Joel Monegro (both ex-USV lineage); Brad Burnham (venture partner); Mario Laul (research)",~$150M managed,Venture + public-market liquid hybrid; long-hold; 75+ investments,Thesis-driven protocol investing,"Ethereum, Solana, Celestia, Monad, Aleo, Eclipse, Backpack, Squads, Tensor, Jito",1-2 new deals per year recently,Not disclosed,Extensive public research library; partner podcasts; Burniske's cryptoasset valuation frameworks,S2,Iconic thesis shop; deployment pace is the tradeoff
Hivemind Capital,"New York, NY",HQ,Active (hybrid),2021,"Matt Zhang (ex-Citi head of structured products trading); Richard Skeet (London; co-lead, runs the liquid platform)","Launched with a $1.5B multi-strategy mandate (venture, liquid staking/yield, trading, play-to-earn gaming); Liquid Opportunity Fund $300M target (2023); Digital Culture Fund ~$50M target (2024, digital art)",Hybrid venture + liquid + trading; real venture sleeve,Multi-strategy digital assets,Varied,,Not disclosed,Institutional profile; less founder-facing,S3,NYC HQ but liquid investing reports to London
Blockchange Ventures,"New York, NY",HQ,Active,Fall 2017,"Ken Seiff (MP; ex-Bluefly, Beanstalk Ventures); Caroline Kassie; Dr. Gavin Wood (part-time GP); Rob Schmults (GP); Janice Chan (CFO); Jon Freedman (COO/CLO)",Multiple funds across the Fund I to IV era,Early-stage; equity + tokens,Base layers and L1s,"Solana, Polkadot, Near, Flow, Dapper Labs, Figure, Axelar, Arbitrum, Zama",~62 active positions; 7 new investments in the trailing 12 months as of mid-2026,Not disclosed,Seiff accessible via podcasts (The Defiant),S2,Gavin Wood's part-time GP role is an unusual signal
North Island Ventures,"New York, NY",HQ,Active,2020,"Travis Scher (ex-DCG VP of investments), James Hutchins (ex-Coatue research), Glenn Hutchins (Silver Lake co-founder; Chairman)",Fund I ~$72M debut; Fund II $125M (2022); ~$300M AUM,Early-stage; $250K-3M initial checks; 30-40 companies per fund; equity + tokens,"Interoperability (network of networks), DeFi, stablecoin payments, onchain neobanking","Axelar, BCB Group, Dapper Labs, Flow, Immunefi, Polymer, Figure, Ether.fi, Utila",,Not disclosed,Scher is public via podcasts and X; the firm has advertised associate hiring,S2,"The associate-hiring history makes this a live seat to watch, not just a coffee"
Portal Ventures,"New York, NY",HQ,Active,2022,"Evan Fisher (ex-Insight Partners, ex-Goldman; Forbes 30 Under 30; Michigan Ross BBA '17); Catrina Wang (GP)","Fund I $35-40M (2022); Fund II $75M closed late 2024, oversubscribed against ~$90M of interest",Pre-seed lead investor; equity + tokens,Fundamentals-driven protocol and business-model thesis; current theme: crypto rails for latent markets,Uranium Digital,Fund II deploying,"Backers include Chris Dixon and Marc Andreessen personally, and KKR's Henry Kravis",Fisher's writing and podcasts; hires early-career,S1,The most MBA-legible investment framing in the NYC set
