IB / M&A Advisory Targets
"CBS Class of 2028  |  Summer 2027 associate cycle  |  Tiers: 1 OCR, 2 Direct, 3 Network  |  Depth on Target Profiles"
Fill in the yellow columns (F to M). Row 6 is an example row; overwrite or delete it.,,,,,,,Targets:,23,High priority:,0,In motion:,0

Firm,Tier,Crypto / Deal Evidence,Hiring Model,Access Channel,Priority,Status,Contact(s),Contact Source,Last Contact,Next Step,Next Step Date,Notes
(Example) Firm Name,1 - OCR,Example row: overwrite or delete,Structured,OCR,High,Outreach sent,"Jane Doe, VP FIG",CBS alum ('24),2026-09-15 00:00:00,Coffee chat at EIS,2026-09-22 00:00:00,Met at fintech club event
PJT Partners,1 - OCR,"Payward's house bank (NinjaTrader buy, Bitnomial sell, Reap buy); Core Scientific debtor banker and co-sell to CoreWeave ($9B)",Structured summer associate program,OCR presentations and closed lists; RSSG restructuring track is MBA-heavy
Evercore,1 - OCR,Co-lead FA to Siris on the $4.2B Equiniti sale; broad fintech franchise,Structured summer associate program,Core OCR name; consistent CBS hirer
Moelis,1 - OCR,"Restructuring franchise leader (Voyager, Genesis, BlockFi debtors); Bitfarms buy-side; Core Scientific co-sell",Structured summer associate program,Standard OCR process
Centerview,1 - OCR,"Celsius Chapter 11 debtor banker (largest banker fee allocation, ~$20M); top-end fintech",Structured summer associate program,"OCR; smallest class, most selective of the group"
Perella Weinberg,1 - OCR,FTX debtors banker; Celsius creditors banker; two of the biggest crypto estates,Structured summer associate program,OCR
Lazard,1 - OCR,Co-FA to FTAI on the $1.5B Long Ridge sale to MARA,Structured summer associate program,OCR
Houlihan Lokey,1 - OCR,Genesis creditors banker; creditor-side franchise across the crypto bankruptcies,Structured summer associate program,OCR; corporate finance and restructuring tracks
Guggenheim,1 - OCR,Fintech coverage; no disclosed crypto M&A credits surfaced 2024-26,Structured summer associate program,OCR
Jefferies,1 - OCR,"Three sell-sides in 15 months (NinjaTrader, Kiavi, FTAI/Long Ridge) plus FTX creditors committee; steadiest non-BB in the space",Structured summer associate program,OCR; larger associate class than the EBs
Cantor Fitzgerald,2 - Direct,"DAT and de-SPAC co-leader (Twenty One, Securitize) plus buy-side FA to Strive on the $1.4B Semler merger; bitcoin financing",Posts roles; less structured MBA path,NYC postings plus direct outreach to the digital assets group
FT Partners,2 - Direct,"#1 crypto sell-side franchise: Deribit, Hidden Road, WonderFi, and Equiniti co-lead; four marquee exits",Direct hiring via Greenhouse; apprenticeship model,Direct application plus targeted outreach; no major OCR presence
KBW (Stifel),2 - Direct,"Stifel advised Riot on the Block Mining buy; KBW crypto work skews research and capital markets, not M&A",Mostly lateral; selective postings,Network via FIG alumni
LionTree,2 - Direct,Sell-side FA to Semler Scientific on the Strive merger; Equiniti syndicate seat for Siris,"Very selective, relationship-driven",Network play; NYC events
Galaxy (IB arm),3 - Network,"Two confirmed sell-sides: Bitstamp to Robinhood, Aplo to Coincheck; largest crypto-native advisory",Lateral hires; occasional postings,CBS alumni search plus direct outreach; dual door with Galaxy Ventures
Architect Partners,3 - Network,"Three-plus mandates: Coinme, Caleb & Brown, Magic Labs; the mid-market franchise plus market-map alerts",Senior-only team; no program,"Relationship build over time, not an application"
Areta,3 - Network,"Self-reported 15+ mandates in 2025, $1B+ cumulative advised; Bulletin sell-side, Bridgepoint buy-side; Europe-weighted, smaller tickets",No formal program,Network play; strong European deal flow
Broadhaven,3 - Network,BitMEX sale mandate; market structure specialist (ErisX to Cboe); Broadhaven Ventures under the same roof,Small team; lateral hires,One relationship serves advisory and venture tracks
Cohen & Co Capital Markets,3 - Network,DAT and de-SPAC co-leader: ProCap and Nakamoto lead FA; Stronghold sell-side,Opportunistic hiring,Watch postings plus outreach
Canaccord Genuity,3 - Network,Digital assets group; a DCG-related mandate referenced but unnamed; flow skews capital markets over M&A,Lateral and just-in-time,Watch postings
BTIG,3 - Network,Research-led digital assets banking; no disclosed M&A credits surfaced 2024-26,Lateral,Watch postings
Compass Point,3 - Network,Co-FA to MARA (with Barclays) on the $1.5B Long Ridge buy; research shop with a real FA credit,Lateral,Watch postings
CRB Securities,3 - Network,Cross River's banking arm; ran the Reap sell-side with Goldman Sachs (Asia),Early build-out,Speculative approach; new franchise worth watching
Aream & Co,3 - Network,London digital asset boutique; no disclosed 2024-26 mandates surfaced in the research,No formal program,Network

"Deal evidence from press releases, firm tombstones, SEC filings, and Architect Partners alerts through Aug 21, 2026. Tier 1 runs on the Sept-Jan OCR cycle; Tiers 2 and 3 run rolling and post-close."
