Crypto & Fintech M&A / ECM — Bank and Boutique Profiles
"M&A-FIRST view: target-group precision for the crypto/fintech M&A lane  |  ECM and restructuring credits shown separately as CONTEXT ONLY  |  CBS Class of 2028, summer 2027 associate cycle"
Fill in the yellow 'Why' column yourself — one line per firm on why it earns your time.

Bank / Boutique,Category,OCR at CBS?,FinTech Coverage,Group / Department to Target,Department Notes & Traps,Crypto M&A Credits,Crypto & Fintech M&A Mandates,ECM / DAT / Capital Markets (context — not your target),Restructuring (context — not your target),CBS Alumni Contact,Why
Goldman Sachs,Bulge bracket,YES — OCR,Within FIG,Global Banking & Markets - Financial Institutions Group (FIG); fintech coverage sits in FIG/TMT. Separate Digital Assets team in GBM.,"Largest crypto M&A count in the dataset, but crypto is a subset of a vast platform - you are recruiting into FIG, not into a crypto desk.",5,"GTreasury $1B (excl. sell-side for Hg, Oct 2025); Core Scientific / CoreWeave $9B (buy-side, Jul 2025); Equiniti $4.2B (excl. buy-side for Bullish, May 2026); Reap up to $600M (co-sell, GS Asia, May 2026)","Top-tier ECM franchise; crypto IPO wave (Circle CRCL Jun 2025, Bullish, Gemini GEMI Sep 2025) - VERIFY which bookrunner roles GS held. NEOS up to $2.25B was GS as principal buyer (GBM), not an advisory mandate.",None in crypto
Barclays,Bulge bracket,YES — OCR,Named: FIG FinTech Coverage,"Investment Banking - FIG, FinTech coverage; Technology group adjacent.",Most active BB in crypto by mandate count. Larger associate class than any EB. Leveraged finance sits alongside - the Long Ridge bridge came from the same relationship.,4,"Bitstamp $200M (excl. buy-side for Robinhood, Jun 2024); Long Ridge $1.5B (co-buy-side for MARA + bridge loan, Apr 2026); Kiavi $717M (excl. buy-side for Figure/Sixth Street, Jun 2026); NEOS up to $2.25B (excl. sell-side, Aug 2026)",Long Ridge bridge financing (Apr 2026). Full ECM platform - confirm crypto/fintech issuance roles.,None in crypto,"Taiwo O. - FIG FinTech Coverage, CBS MBA"
JPMorgan,Bulge bracket,YES — OCR,Dedicated FinTech coverage in IB,Investment Banking - FIG / Financial Technology coverage.,"TRAP: Kinexys (ex-Onyx) is JPM's blockchain PRODUCT unit - deposit tokens, tokenized repo. It is not investment banking and will not lead to an M&A seat. Target FIG.",2,"Adecoagro ~$615.5M tender (excl. sell-side vs Tether, Mar 2025); WonderFi C$250M (buy-side for Robinhood, May 2025)",Full ECM platform; reported role in the Circle (CRCL) IPO - VERIFY.,None in crypto
Citigroup,Bulge bracket,YES — OCR,Within FIG,Banking - FIG / Financial Technology; digital assets coverage within FIG.,"TRAP: Citi Token Services is a product/treasury build, not IB. Citi's crypto credit is an ECM/DAT one, not M&A.",0,None disclosed,"Securitize $1.25B pre-money de-SPAC (FA to Securitize + co-placement, Oct 2025; NYSE: SECZ Jul 2026)",None in crypto
Morgan Stanley,Bulge bracket,YES — OCR,Named: Head of FinTech & AI,Investment Banking - Global Financial Institutions; FinTech coverage (Head of FinTech & AI sits in London).,No disclosed crypto M&A credit 2024-26. Included for fintech breadth and the E*TRADE crypto build. Verify before pitching crypto here.,0,"None disclosed in crypto. (Historic fintech/LatAm depth - Gol/Smiles was alongside MS, which is your own credential.)",Full ECM platform - verify crypto issuance roles.,None in crypto,"Richard Pilipuitis - MD, Head of FinTech & AI (CBS exec-ed, not a degree - soft tie)"
Bank of America,Bulge bracket,YES — OCR,Within FIG,Investment Banking - Global FIG / FinTech; Technology group adjacent.,No disclosed crypto M&A credit 2024-26. Fintech coverage is real; crypto is not a stated franchise.,0,None disclosed,Full ECM platform - verify crypto issuance roles.,None in crypto,"Yusuf Ibrahim - IB Associate, fintech/tech, CBS MBA '25"
Wells Fargo,Bulge bracket,YES — OCR,Within FIG,Corporate & Investment Banking - FIG / Financial Technology.,Single syndicate appearance; not a crypto franchise. Low priority unless a relationship appears.,1 (syndicate),"Equiniti $4.2B (sell-side syndicate alongside Evercore/FT Partners leads, May 2026)",Verify crypto issuance roles.,None in crypto
PJT Partners,Elite boutique,YES — OCR,Within FIG (verify if branded),STRATEGIC ADVISORY (M&A). NOT RSSG.,"CRITICAL: RSSG (Restructuring & Special Situations Group) is a separate, MBA-heavy track and is where the Core Scientific Ch.11 sat - the tracks split early. Park Hill (fund placement) is a third arm. All the Payward M&A work is Strategic Advisory. Say 'strategic advisory' in every conversation.",4,"NinjaTrader $1.5B (buy-side for Kraken/Payward, Mar 2025); Core Scientific $9B (co-sell with Moelis, Jul 2025); Bitnomial up to $550M (excl. sell-side, Apr 2026); Reap up to $600M (buy-side for Payward, May 2026)",No disclosed crypto ECM.,Core Scientific Ch.11 debtors (RSSG) - context only
Evercore,Elite boutique,YES — OCR (consistent CBS hirer),Within FIG,Advisory - FIG / Financial Technology coverage. Capital Markets Advisory (ECM) is a distinct group.,"Largest associate class among the EBs and a consistent CBS hirer. Crypto evidence is thin (one credit) - lead with the fintech franchise, not a crypto thesis.",1,"Equiniti $4.2B (co-lead sell-side for Siris with FT Partners, May 2026)",Capital Markets Advisory group; verify crypto issuance roles.,None in crypto
Moelis,Elite boutique,YES — OCR,Within FIG,Generalist M&A coverage. Recapitalization & Restructuring (R&R) is the separate arm.,"Its crypto reputation is 60% restructuring (Voyager, Genesis, BlockFi debtors). If you have ruled out Rx, only two of its five credits are relevant - and staffing can cross between M&A and R&R.",2,"Stronghold Digital $125M (buy-side for Bitfarms, Aug 2024); Core Scientific $9B (co-sell with PJT, Jul 2025)",No disclosed crypto ECM.,"Genesis, Voyager, BlockFi debtors - context only"
