"Advisor League Table: Disclosed Crypto M&A Mandates, Jan 2024 to Aug 2026"

Firm,Sell-side,Buy-side,Rx / DAT,Total,Marquee mandates,Read
FT Partners,4,0,0,4,"Deribit, Hidden Road, WonderFi, Equiniti (co-lead)",#1 sell-side franchise; on nearly every marquee exit
PJT Partners,2,2,1,5,NinjaTrader + Reap (buy); Bitnomial + Core Scientific (sell); Core Scientific Ch. 11,Payward engine plus restructuring depth
Moelis,1,1,3,5,"Voyager, Genesis, BlockFi debtors; Bitfarms buy; Core Scientific co-sell",Restructuring franchise leader plus miner M&A
Jefferies,3,0,1,4,"NinjaTrader, Kiavi, Long Ridge sell-sides; FTX creditors committee",Steadiest all-rounder; easiest structured seat to win
Cantor Fitzgerald,0,1,2,3,"Twenty One, Securitize; buy-side FA to Strive on Semler ($1.4B)","DAT co-leader, now with a real M&A mandate"
Architect Partners,3,0,0,3+,"Coinme, Caleb & Brown, Magic Labs",The mid-market crypto-native franchise
Cohen & Co Capital Markets,1,0,2,3,Stronghold sell; ProCap and Nakamoto lead FA,DAT lane co-leader
Galaxy Digital Partners,2,0,0,2,"Bitstamp, Aplo (both exclusive sell-sides)",Crypto-native platform converting to real sell-sides
LionTree,2,0,0,2,Semler sell-side (exclusive); Equiniti syndicate seat,Semler upgrades it from syndicate seat to lead credit
Perella Weinberg,0,0,2,2,"FTX debtors, Celsius creditors",Restructuring credibility on the biggest estates
Areta,1,1,0,15+ (self),Bulletin sell; Bridgepoint/ht.digital buy,"Emerging; Europe-weighted, smaller tickets; count is the firm's own claim"
Evercore,1,0,0,1,Equiniti co-lead for Siris,Real but episodic
Lazard,1,0,0,1,FTAI/Long Ridge co-sell,Episodic
Centerview,0,0,1,1,Celsius debtors (~$20M fee allocation),"Restructuring one-off, big fee"
Houlihan Lokey,0,0,1,1,Genesis creditors,Creditor-side
Compass Point,0,1,0,1,MARA/Long Ridge co-buy with Barclays,Research shop with a real FA credit
Lincoln International,1,0,0,1,GRIID sell-side FA and fairness opinion (CleanSpark),Mid-market generalist with a mining credit
Broadhaven,1,0,0,1,BitMEX sale mandate,Specialist; process under way
CRB Securities,1,0,0,1,Reap co-sell with Goldman Asia,New entrant
Stifel (KBW),0,1,0,1,Riot/Block Mining buy,Crypto work skews research and ECM
XMS Capital,1,0,0,1,Block Mining sell,One-off

BB reference:
Goldman Sachs,2,3,0,5,"GTreasury, Reap-Asia (sell); CoreWeave, Bullish, NEOS (buy)",Biggest tickets; crypto a subset of a huge platform
Barclays,1,3,0,4,"NEOS (sell); Bitstamp, Kiavi, Long Ridge (buy) plus bridge financing",Most active BB by a wide margin
JPMorgan,1,1,0,2,Adecoagro sell-side (Tether tender); Robinhood/WonderFi buy,"Two credits, both notable"
Citigroup,0,0,1,1,Securitize FA and co-placement,DAT entry

"Counts reflect disclosed financial advisor mandates only (announced Jan 2024 to Aug 2026), per press releases, firm tombstones, SEC filings, and deal research through Aug 21, 2026. Rx / DAT column combines restructuring and treasury/de-SPAC mandates. Undisclosed-advisor deals (Stripe/Bridge, Mastercard/BVNK, Talos/Coin Metrics, SBI/bitbank, and most sub-$100M deals) are excluded, so boutique counts understate true activity."
