CBS Recruiting Cycle: Key Windows (Class of 2028)

Window,What Happens,Your Moves
Aug 24 to early Sept 2026,Orientation; club fair,Join the Investment Banking Club and Fintech Club immediately; get CMC portal access and pull the current OCR employer roster against the Targets tab
Sept 2026,Employer information sessions begin,Attend every Tier 1 session; log contacts in the tracker the same day
Sept to Oct 2026,IBC prep program; resume book deadline,Submit your resume to the IBC book; lock the FIG / fintech story and tie it to your deal experience
Oct to Nov 2026,"Coffee chats, firm dinners, networking events",Target 2 to 3 contacts per Tier 1 firm; start Tier 2 direct outreach in parallel
Dec 2026,Closed-list invitations; resume drops open,Apply through the CMC portal; prioritize firms where you have multiple advocates
Jan 2027,Summer associate interviews (typically mid to late January),IBC mock interviews; technicals should be automatic before the holidays end
Feb 2027,Offers and decisions,Close your summer seat; keep Tier 2 and Tier 3 threads warm
Mar to May 2027,Off-cycle and just-in-time hiring at boutiques,Push Tier 3 conversations; crypto-native firms hire when deals land
Summer 2027,Summer associate internship,Convert; the return offer is the whole game
Fall 2027,Full-time conversion and off-cycle moves,"If pivoting to a crypto-native firm for full time, this is the window"

Windows reflect the typical CBS IB cycle; confirm exact 2026-27 dates on the CMC portal after orientation.
